product_code,date,general_stars,softens_the_hair_stars,formulation_stars,scent_stars,key_words,text,number_of_likes
GA230819992,20240429,5,5,5,5,"Hair Type: Curly & Wavy 
Hair Concern: Anti-Dandruff,Hair Growth,Anti-Frizz","It give a cool sensation after applying a little too strong when you first use it, but it was good. I use it after washing my hair and it doesn&#39;t leave any oily effect. I have quite oily hair and this actually reduces the oily effect. I really like using it.",3
GA230819992,20240929,5,5,5,4,"Hair Type: Curly & Wavy 
Hair Concern: Damage Repair,Hair Growth","I think this works pretty well, used it for over 4 weeks now, and I have less hair loss. It&#39;s less than half the amount of hair loss I used to have. The scent is fragrant and fresh, and overall, my hair look healthier. The spray bottle makes it a breeze to apply on scalp.",0
GA230819992,20240916,5,5,5,5,"Hair Type: Dry 
Hair Concern: Hair Growth,Hydrating,Purifying ",10대 딸아이가 써보고 싶다고해서 구입했습니다 은은한 로즈마리향이 좋다네요 자주쓰지말고 일주일에 1~2번만 사용 해보라고 했네요 아직까지 트러블 반응은없어서 잘 사용하고 잇어요,0
GA230819992,20231219,5,5,5,5,"Hair Type: Curly & Wavy 
Hair Concern: Anti-Frizz,Damage Repair,Heat Protection","It growed!!! I got a small bunch of hair won&#39;t grow more than 3cm for years, after I heard this product might helps so I bought my first bottle. Until I used half of bottle, it really growed nearly 5cm.
Give it a try before you give up👍",4
GA230819992,20240520,4,2,4,5,,I use this after showering and it feels amazing and surprisingly help a lot with dandruff which I love. I prefer using it after the shower. I&rsquo;ve used the product on dry hair sometimes but it leaves my hair looking a little oily. So if you&rsquo;re going to use the product I recommend using it after the shower or on wet hair,3
GA230819992,20231218,5,3,5,4,"Hair Type: Thinning 
Hair Concern: Damage Repair,Hair Growth,Scalp Treatment ","I&#39;m using this bottle for a month now. I definitely see that I have more hair growing up, but I see only a slight difference in the loosing ones (hair loss is a little bit less than before). I think I should use the enhancer for a couple months to see a really difference.",3
GA230819992,20240818,4,1,5,5,,I LOVE THIS PRODUCT. I deducted one stare because i wish this was available in a larger bottle. I have been suffering from hairloss due to stress and this really helps stimulate new hair growth and sooth the scalp.,1
GA230819992,20240720,5,5,5,5,"Hair Type: Hair loss
Hair Concern: Hair Growth,Hydrating,Volumizing","В период использования процесс выпадения волос равен 0. Кожа головы даже стала меньше жирниться. Расход у меня получился достаточно большой, даже как то жаль что бутылочка столь маленькая.",1
GA230819992,20240623,5,5,5,5,"Hair Type: Curly & Wavy 
Hair Concern: Hair Growth,Hydrating","Who cares if this works!! Maybe I just need to buy rosemary essential oil. The spray works really well on my scalp! The formula is very COOL! It is very hot in my room as I write this, and it was so cool and refreshing!! I am thinking about getting a second spray bottle to keep at work to refresh myself (and wake up) in the middle of the day. I&#39;m a believer in this. I will continue to buy this product, hopefully it makes my scalp better while I spray it on every day. ",1
GA230819992,20240609,5,5,3,3,"Hair Type: Hair loss
Hair Concern: Anti-Dandruff,Hydrating",I&rsquo;ve been using this for a month and noticeably have a less oily scalp.,1
GA230819992,20240609,4,4,4,4,"Hair Type: Dry 
Hair Concern: Hydrating,Scalp Treatment ,Shine ","Honestly, it feels amazing, I&#39;ve gone through a whole bottle within a month and had to buy more. It smells nice and gives your scalp a tingly feeling as well as making it smell fresh LOVE LOVE LOVE",1
GA230819992,20240528,4,4,5,4,"Hair Type: Dry 
Hair Concern: Damage Repair","Nice to scalp , not oily, improved the baby hair growing, and helped with control the hair loss . ",1
GA230819992,20240326,5,5,4,4,"Hair Concern: Anti-Dandruff,Hair Growth,Balancing ","Giao h&agrave;ng nhanh, m&ugrave;i tr&agrave;m tr&agrave;, m&ugrave;i hương luu l&acirc;u đến tận lận gội tiếp theo",1
GA230819992,20240323,5,4,5,5,"Hair Type: Frizzy 
Hair Concern: Hair Growth",Love the smell of this spray! Tried it for a good solid month and I can say my hair looks healthier and more fuller. I will continue to use it and hope the results get better!,1
GA230819992,20240303,5,5,5,5,"Hair Type: Colored
Hair Concern: Anti-Dandruff,Color Protection,Damage Repair",I have scalp psoriasis and this has made it less irritated. It smells great and my hair feels so healthy,1
GA230819992,20241018,5,5,5,5,"Hair Type: Fine 
Hair Concern: Scalp Treatment ","リピ買いです。
これかティーツリーどちらかを使ってます。
頭皮の匂いや痒みに改善あり！",0
GA230819992,20241017,5,4,5,5,"Hair Type: Weakened 
Hair Concern: Hair Growth,Balancing ,Damage Repair","Me anim&eacute; a comprarlo porque ya conoc&iacute;a el producto con un set de viaje, realmente ves la diferencia en el cabello con 2 semanas de uso. Mi mam&aacute; ten&iacute;a mucha p&eacute;rdida de cabello y a mejorado bastante desde que empez&oacute; a usar este producto ✨️ lo seguiremos comprando",0
GA230819992,20241016,5,5,5,5,"Hair Type: Thinning 
Hair Concern: Thickening ","D&ugrave;ng si&ecirc;u m&ecirc;, sẽ ủng hộ l&acirc;u d&agrave;i....",0
GA230819992,20241014,5,5,5,5,,I got this for my mom not sure how long it takes to work but she loves the cooling effect ,0
GA230819992,20241013,5,5,5,5,"Hair Type: Weakened 
Hair Concern: Anti-Frizz,Damage Repair,Hair Growth","Has a very strong smell which doesn&#39;t bother me, but might bother others. Really freshens up my hair and leaves it feeling soft.",0
GA230819992,20241011,5,5,5,5,"Hair Concern: Balancing ,Hydrating,Purifying ",feels very refreshing on the scalp ,0
GA230819992,20241010,5,5,5,5,"Hair Type: Fine 
Hair Concern: Anti-Dandruff,Anti-Frizz,Balancing ",This is so good I have bought twice never disappoints me,0
GA230819992,20241009,3,5,3,1,"Hair Type: Frizzy 
Hair Concern: Anti-Frizz,Damage Repair,Hair Growth",더운날 뿌리면 시원해서 극락 갑니다 두피에 큰 도움을 주는지는 모르겠는데 평소보다 약간 덜 떡지는 느낌? 뿌릴때 숨참아야 할정도로 독한느낌이라 별 두개 뺏어요,0
GA230819992,20241007,5,4,4,3,"Hair Type: Fine 
Hair Concern: Anti-Frizz,Damage Repair,Hair Growth",It doesn&rsquo;t weight down the hair. I&rsquo;m not sure how effective this is because I haven&rsquo;t been using it for long. ,0
GA230819992,20241006,5,5,5,5,,"The second time I order it , it smells nice for those with oily scalp. It reduces the oiliness of the scalp ",0
GA230819992,20241006,5,5,5,5,"Hair Type: Fine 
Hair Concern: Anti-Frizz,Damage Repair,Hair Growth",Love it! I saw a difference in hair growth after I used it for a couple of times.,0
GA230819992,20241003,5,5,5,5,"Hair Type: Colored
Hair Concern: Anti-Frizz,Damage Repair,Hydrating",I love this it&rsquo;s a light cleansing oil that keeps my hair hydrated and refreshed,0
GA230819992,20241003,5,5,5,5,,"I love the smell and the tingle on my scalp when applying. I feel like I&rsquo;m starting to see more growth, especially new baby hair close to my hairline. I will continue to buy. ",0
GA230819992,20240930,5,5,4,3,"Hair Type: Dry 
Hair Concern: Anti-Frizz,Color Protection,Damage Repair",I feel like my hair grows faster and thicker now. ,0
GA230819992,20240929,5,5,5,5,"Hair Type: Frizzy 
Hair Concern: Anti-Frizz,Hair Growth,Hydrating","Work with hair growth for me. I got a slight bold spot (or hair thinning) at my temples, but after using this for a week I have seen some hair growth. ",0
GA230819992,20240927,5,5,5,5,"Hair Type: Curly & Wavy 
Hair Concern: Anti-Dandruff,Balancing ,Hair Growth",I was struggling with hair fall and had spots that hair wasn&rsquo;t growing but after using this I have thick hair and I love ❤️ the smell. I will buy it again.,0
GA230819992,20240927,5,5,5,5,"Hair Type: Thinning 
Hair Concern: Scalp Treatment ","Scalp feels fresh and clean after use, nice smell ",0
GA230819992,20240926,4,3,4,3,"Hair Type: Fine 
Hair Concern: Balancing ,Hair Growth,Heat Protection",Been struggling with hair loss and wanted to try something with rosemary. ,0
GA230819992,20240926,5,5,5,5,," I&#39;m not sure about helping with hair growth, but I like the smell and makes my scalp feel fresh.",0
GA230819992,20240926,4,4,4,4,,"It feels cool when spray on my scalp. Good so far, didn&rsquo;t see any improvement on hair growth yet",0
GA230819992,20240926,5,5,5,5,"Hair Concern: Anti-Dandruff,Hair Growth,Heat Protection",I love using it every time after washing my hair it keeps my scalp less oily and itchy,0
GA230819992,20240926,5,4,5,5,"Hair Type: Fine 
Hair Concern: Heat Protection,Shine ,Scalp Treatment ","Cooling and refreshing! Makes my scalp smell good, too. ",0
GA230819992,20240925,5,5,5,5,,"Repurchase many times, like the fragrance",0
GA230819992,20240925,5,5,5,5,,"Repurchase, takes some time to work",0
GA230819992,20240925,4,1,2,3,"Hair Concern: Anti-Dandruff,Hair Growth","Smells good, but does make my hair greasy.  No effect yet seen on hair.",0
GA230819992,20240925,5,5,5,5,,"I love it, and bought it 2nd time! It&rsquo;s the best, not only it cured my scalp from irritation and falling off, but also it&rsquo;s giving nice minty sensations",0
GA230819992,20240924,5,5,5,5,"Hair Type: Hair loss
Hair Concern: Anti-Dandruff,Hair Growth,Scalp Treatment ","두피가 건조하고 비듬도 일어나는 두피인데, 머리 감고 젖었을때나 드라이한 후에 뿌려도 시원하고 좋아요. 인위적이지 않은 로즈메리 허브향이 개인적으로 좋은데, 호불호가 있을 수는 있을거 같아요. 모든 두피 제품이 바로 결과가 나는게 아니라서 헤어가 더 난다 말은 못하겠지만 두피 가려움엔 확실히 도움 되는듯 해요. 재구매  의사 있습니다 ",0
GA230819992,20240924,5,5,5,5,"Hair Type: Colored
Hair Concern: Anti-Frizz,Damage Repair,Hair Growth",My favourite rosemary root spray ever!,0
GA230819992,20240924,5,5,5,5,,This is so refreshing on scalp!! ,0
GA230819992,20240924,1,1,1,1,,Order from yesstyle you have to pay duty fee which they won&#39;t tell you in advance,0
GA230819992,20240922,4,4,4,5,"Hair Type: Fine 
Hair Concern: Hair Growth,Hydrating,Shine ","I heard this product will help to strengthen our hair and I have used a few times, so I will continue using it. Also, love its smell!",0
GA230819992,20240922,4,4,3,5,"Hair Type: Curly & Wavy 
Hair Concern: Anti-Frizz,Color Protection,Damage Repair","Using it helps refresh and cool my scalp, which is very useful during the summer heat. I haven&#39;t seen noticeable hair growth yet. ",0
GA230819992,20240922,5,5,5,5,,Used it once before shower. Made hair smooth ,0
GA230819992,20240921,5,5,5,4,"Hair Type: Weakened 
Hair Concern: Hydrating,Hair Growth,Damage Repair",It like a water but refresh my scalp I am using daily it refresh my scalp my hair become healthy and soft love it ❤️,0
GA230819992,20240919,5,5,5,5,"Hair Type: Hair loss
Hair Concern: Hydrating,Scalp Treatment ,Shine ",Amazing treatment hair! I love this item a lot of. Special scent!,0
GA230819992,20240919,5,5,5,5,"Hair Type: Dry 
Hair Concern: Anti-Frizz,Hydrating,Shine ",Smells exactly like rosemary. Very soothing and has a fresh scent to it. ,0
GA230819992,20240919,5,5,5,5,"Hair Type: Curly & Wavy 
Hair Concern: Anti-Frizz,Hair Growth,Heat Protection","This is my favorite scalp mist, I&#39;ve repurchased a lot. ",0
GA230819992,20240918,4,4,4,4,,"Can&rsquo;t live without this now.. being on my 30&rsquo;s&hellip; hairfall is too bad&hellip; this helps me,,, plus it feels refreshing and smells real good!",0
GA230819992,20240917,5,4,4,4,,It cools down the heat of the scalp.,0
GA230819992,20240916,5,5,5,5,"Hair Type: Curly & Wavy 
Hair Concern: Anti-Dandruff,Anti-Frizz,Color Protection",                            ,0
GA230819992,20240916,5,5,5,5,,m&ecirc;. d&ugrave;ng tới set thứ 2 rồi,0
GA230819992,20240916,4,4,4,4,,Haven&#39;t tried but my mom has and so far she likes it! Will come back with a proper review once I tried it!,0
GA230819992,20240914,5,3,4,5,"Hair Type: Fine 
Hair Concern: Damage Repair,Scalp Treatment ","just tried for a few days, not quite sure if it&#39;s effective to strengthen my hair, but love its refreshing smell so far ",0
GA230819992,20240914,5,3,5,5,,"I don&#39;t know will it enhance my hair root become stronger, will see after finish these products. But for now, no irritation after spray. ",0
GA230819992,20240914,5,2,5,5,"Hair Type: Fine 
Hair Concern: Scalp Treatment ,Anti-Frizz,Hydrating",I love love love this scalp tonic. I and my husband both have loved this tonic for more than a year. ,0
GA230819992,20240913,5,4,4,5,,"頭皮ケアの中で一番良かったです
流石アロマティカです",0
GA230819992,20240913,5,5,4,5,"Hair Type: Hair loss
Hair Concern: Hydrating,Scalp Treatment ,Shine ",Very nice it works amazing:) happy with the purchase ,0
GA230819992,20240910,3,3,3,3,,匂いがキツイですね、もっと軽い匂いなら良かった。清涼感も軽めです。,0
GA230819992,20240910,5,5,5,5,,"I really like the small and after use it, my scalp feel so good! ",0
GA230819992,20240910,5,3,5,5,"Hair Type: Fine 
Hair Concern: Anti-Dandruff,Hair Growth,Damage Repair","I finished my first bottle and repurchase this set. It&rsquo;s so refreshing every time I spray it on my scalp. I have not seen any new hair growth, but I can tell my hair less falling out. Enjoy this root enhancer a lot! ",0
GA230819992,20240909,5,5,5,5,"Hair Type: Fine 
Hair Concern: Volumizing",Đ&atilde; d&ugrave;ng loại n&agrave;y rất nhiều rồi rất ok nha,0
GA230819992,20240908,4,3,3,5,"Hair Type: Colored
Hair Concern: Shine ","2本で1760円で購入。
ドライヤー時に気持ちがいいのでいつも使ってます。減りが早いのでコスパは微妙です。",0
GA230819992,20240908,4,3,4,4,"Hair Type: Colored
Hair Concern: Color Protection,Damage Repair,Heat Protection",髪や頭皮の健康のために、栄養豊富かつナチュラルな製剤で気になり買いました。楽しみ！,0
GA230819992,20240908,5,4,5,5,"Hair Type: Hair loss
Hair Concern: Balancing ,Scalp Treatment ,Thickening ",This is so amazing it helps with hair fall + it helps witb my oily scalp &ldquo; i keep on repurchasing this&rdquo; 100% recommend ,0
GA230819992,20240904,5,5,4,5,,I&rsquo;ve tried most of their products and this one especially does not disappoint 😫,0
GA230819992,20240904,5,5,5,5,"Hair Type: Hair loss
Hair Concern: Color Protection,Damage Repair,Heat Protection","I gives a fresh feeling to the scalp. Nozzle is so convenient to use, not much product consumption! 
I could say that my greasy scalp is much more cleaner after this enhancer. Usually I have to wash my hair everyday, but using this product, my problem has been solved - now hair looks fresh even on the second day.
Scent can be annoying for someone, because it is a little big strong. But after spreading it on the scalp, this scent disappears for seconds. ",0
GA230819992,20240903,5,5,5,5,"Hair Type: Fine 
Hair Concern: Hair Growth,Thickening ",This was a rebuy because I feel this really has helped with losing less hair. Good value for money. It feels very refreshing on my scalp.,0
GA230819992,20240902,5,4,4,5,"Hair Type: Dry 
Hair Concern: Anti-Frizz,Scalp Treatment ,Volumizing",初めてのヘアトニックでしたが使いやすく清涼感があります。リピします。,0
GA230819992,20240902,5,5,5,5,"Hair Type: Curly & Wavy 
Hair Concern: Balancing ,Damage Repair,Heat Protection","Always always a repurchase 
I can already see a difference in my hairline and hair volume in a short period of time . 
Will purchase again ",0
GA230819992,20240902,5,5,5,3,"Hair Type: Hair loss
Hair Concern: Anti-Frizz,Damage Repair,Hair Growth",My hair feels really good and feels clean ,0
GA230819992,20240901,5,5,5,5,,一度購入してとても良かったので、また購入させていただきました。,0
GA230819992,20240901,5,5,5,5,"Hair Type: Hair loss
Hair Concern: Anti-Dandruff,Anti-Frizz,Balancing ",شفت مدح عليه رهيب و اعتبرتو بديل لميلي لانه مقاطعة بشوف و بجرب و بعدها بحكلكم النتيجة و الحلو انه في علبة كمان وحده معو لانه بخلص بسرعة بتوقع بسس القوام المائي ,0
GA230819992,20240901,5,5,5,5,"Hair Type: Curly & Wavy 
Hair Concern: Hair Growth,Heat Protection,Hydrating","Se siente muy fresco al aplicarlo, huele bien y recomiendo ponerlo justo cuando sales de ba&ntilde;arte para que el cabello lo absorba bien as&iacute; me sienta mejor a mi 🥰. No s&eacute; si es idea m&iacute;a o que pero me han crecido m&aacute;s cabellitos pero al igual queda una buena sensaci&oacute;n en el cuero cabelludo 👀.",0
GA230819992,20240831,5,4,5,5,"Hair Type: Fine 
Hair Concern: Hydrating,Thickening ,Volumizing",Have only used it a week and I love the tingling feeling and the smell. Will continue to use for results. ,0
GA230819992,20240831,5,5,5,5,,I have used this over a year and have noticed hair regrowth. Will continue to use for sure.,0
GA230819992,20240831,5,5,5,5,"Hair Type: Thinning 
Hair Concern: Damage Repair",I can see some babyhair where i spray the serum. Also smells fresh/nice/mint.,0
GA230819992,20240830,5,5,5,5,"Hair Type: Colored
Hair Concern: Damage Repair,Hair Growth,Scalp Treatment ",Great product! Recommend to all 😆,0
GA230819992,20240829,5,5,5,5,,"Love that it&rsquo;s not greasy. 
Smells great ",0
GA230819992,20240828,5,5,5,5,"Hair Type: Hair loss
Hair Concern: Anti-Dandruff,Anti-Frizz,Color Protection",I love the cooling effect. This is my second time buying and it helps with baby hair growth,0
GA230819992,20240828,5,5,4,4,"Hair Type: Frizzy 
Hair Concern: Balancing ,Anti-Frizz,Anti-Dandruff",buen tonico me gusta la sensacion refrescante que deja en mi cabeza ,0
GA230819992,20240828,5,5,5,5,,Love this spray. It helped with my itchy flaky scalp and helped my hair grow! It also smells great! But I purchased one on Amazon that didn&rsquo;t smell good.,0
GA230819992,20240826,5,5,5,5,"Hair Type: Curly & Wavy 
Hair Concern: Damage Repair,Hair Growth,Scalp Treatment ",Amo el aroma y se siente refrescante.lo seguir&eacute; comprando ,0
GA230819992,20240826,5,5,5,5,"Hair Type: Fine 
Hair Concern: Anti-Frizz,Hydrating,Scalp Treatment ","I&rsquo;ve used 10+ bottles. Of course this is not a medicine, so shouldn&rsquo;t expect dramatic change. But I am satisfied enough with it. I recommend to try this scalp tonic. ",0
GA230819992,20240823,5,5,5,5,"Hair Type: Fine 
Hair Concern: Damage Repair,Hydrating,Hair Growth","I use this after I take a shower while I air-dry my hair. It feels so good, and seems to make my hair healthier.",0
GA230819992,20240823,3,2,3,4,,Smells lovely but didn&rsquo;t see any improvement on my scalp. More a relaxing experience than a treatment. Wouldn&rsquo;t purchase again but enjoyed the spa-like feeling ,0
GA230819992,20240821,5,5,5,5,,"After using this product, I found out that my hair fall reduces significantly. The smell is also refreshing. I would buy it again.😍😍",0
GA230819992,20240818,5,5,5,5,"Hair Type: Curly & Wavy 
Hair Concern: Damage Repair,Hydrating,Scalp Treatment ","On my 10th bottle at this point, it&#39;s so so good I just wish it was bigger!
Use code AMANDAMC17 for 5% off your total purchase!",0
GA230819992,20240817,5,5,5,5,"Hair Type: Hair loss
Hair Concern: Anti-Dandruff,Anti-Frizz,Color Protection",It&rsquo;s so good and makes my scalp feel fresh and minty. It also helped with my dandruff and itchiness will be buying more,0
GA230819992,20240817,5,4,5,5,,I had scalp psoriasis for a bit and my scalp was soo dry and flaky but this helped heal it very quickly! I would say it took about 1.5 weeks to see results for me. I definitely noticed a difference in my hair volume which was an additional bonus. When you spray it has a cool soothing sensation on your scalp so I think you&rsquo;ll enjoy it in the summer especially ,0
GA230819992,20240816,4,4,4,3,"Hair Type: Fine 
Hair Concern: Volumizing,Scalp Treatment ,Heat Protection","Feels kinda refreshing and has a cooling effect, but not a big fan of the scent. So far no visible or noticieable difference but plans to use it consistently.",0
GA230819992,20240816,5,5,5,5,"Hair Type: Curly & Wavy 
Hair Concern: Damage Repair,Hydrating,Scalp Treatment ","I am obsessed with this root enhancer! It really is so so great for scalp health &amp; helps prevent dry scalp and dandruff! Can&#39;t recommend enough!
Use code AMANDAMC17 for 5% off your total purchase!",0
GA230819992,20240812,5,4,5,5,"Hair Type: Fine 
Hair Concern: Anti-Frizz,Hydrating,Scalp Treatment ","I&rsquo;ve used this scalp tonic for nearly one year, countless many bottles. I was stressed out from hair thinning and loss. Now I can feel when I tie hair, the volume is much bigger. I will continue to purchase.",0
GA230819992,20240812,5,5,5,5,,So refreshing and good for my scalp. Not sure it gives volume to my scalp but it is definitely gives cool,0
GA230819992,20240810,4,2,4,5,"Hair Type: Hair loss
Hair Concern: Hydrating,Damage Repair,Hair Growth","This product  has a very stronge smell that once sprayed can be smelt all around the house. However it does go away and isn&#39;t a bad smell. 
If you have correctly cleaned your scalp then you will feel a stronger minty/ cooling feeling on your scalp. ",0
GA230819992,20240808,5,3,5,5,"Hair Type: Hair loss
Hair Concern: Damage Repair,Anti-Frizz,Anti-Dandruff",Second order. Live it. Refreshes hair on hot days and days in between washes. Good for itchy scalp,0
GA230819992,20240806,5,4,5,5,"Hair Type: Fine 
Hair Concern: Hair Growth,Hydrating,Scalp Treatment ",Minty feeling on the scalp is very refreshing. I have noticed that my bald spot feels less noticeable now too!,0
GA230819992,20240805,5,5,5,5,"Hair Type: Curly & Wavy 
Hair Concern: Anti-Frizz",Rosemary is known to make your hair thicker and I heard a lot of good things about this product specifically!,0
GA230819992,20240805,5,5,5,5,,"it&#39;s a really good product and has a cooling effect! the downside is that it&#39;s a pretty small bottle and i wish it was bigger. although, it&#39;s perfect for travel!",0
GA230819992,20240804,5,5,5,5,"Hair Type: Weakened 
Hair Concern: Damage Repair,Hair Growth,Thickening ",Хорошо дает объем волосам! Очень освежающий и имеет приятный запах,0
GA230819992,20240803,5,5,5,5,"Hair Type: Fine 
Hair Concern: Hydrating,Hair Growth,Anti-Frizz",Makes my hair feel fresh and silky hair,0
GA230819992,20240801,5,5,5,5,"Hair Type: Weakened 
Hair Concern: Damage Repair,Hair Growth,Hydrating",Best hair product feels very refreshing and cool,0
GA230819992,20240728,5,4,5,5,"Hair Type: Colored
Hair Concern: Anti-Dandruff,Purifying ,Scalp Treatment ","Great scent, easy to use, works quickly especially when I wake up with a dry scalp/dandruff.  
Would purchase again. ",0
GA230819992,20240727,5,4,5,4,"Hair Type: Dry 
Hair Concern: Damage Repair","Very nice , I noticed different from the first week , after 3 weeks I noticed new  baby hair, also the hair fall reduced in a very noticeable way . ",0
GA230819992,20240727,5,3,5,5,"Hair Type: Fine 
Hair Concern: Anti-Frizz,Scalp Treatment ,Hydrating",My husband and I finished this scalp tonic 10+ bottles. Not a dramatic effects but it helps reducing hair loss and scalp is less itchy. ,0
GA230819992,20240726,5,5,5,5,"Hair Type: Colored
Hair Concern: Anti-Dandruff","Nh&igrave;n vỏ dễ thương, hương thơm m&aacute;t, ",0
GA230819992,20240726,5,5,5,5,,Love the formula! I leave a cold feeling after y using it! I can see some baby hair coming out as well after using it! It&#39;s my second purchase! Gave it to my dad and he loves it as we do!,0
GA230819992,20240725,5,4,4,5,"Hair Type: Curly & Wavy 
Hair Concern: Anti-Dandruff,Anti-Frizz,Damage Repair",its cool in the scalp but just make sure you don&rsquo;t have any wound cause its stings,0
GA230819992,20240724,5,3,5,4,"Hair Type: Thinning 
Hair Concern: Balancing ,Hair Growth,Hydrating","Love love love this hair spray, has a cooling effect. I see improvement in my hair as it does not fall as badly as before. Definitely a must try. ",0
GA230819992,20240724,5,5,5,5,,"Very good for scalp , it is refreshing and it smells good.",0
GA230819992,20240724,5,5,5,5,"Hair Type: Frizzy 
Hair Concern: Anti-Frizz,Damage Repair,Hair Growth",very refreshing love the smell ,0
GA230819992,20240723,5,4,5,5,"Hair Type: Curly & Wavy 
Hair Concern: Balancing ,Damage Repair,Hydrating","Repurchased because I really like the scent and that it makes my scalp feels more comfortable. My scalp does greese fast though, as my scalp is oily and sweats easily",0
GA230819992,20240722,5,5,5,5,"Hair Type: Thinning 
Hair Concern: Anti-Frizz,Color Protection,Damage Repair","Fresh, liquid, non greasy and easy to split. I&rsquo;ve been using different products for hair loss and this is the first one that I actually like using. It is refreshing. But I have to use it longer to see more results though. For now I&rsquo;m liking it very much. The shampoo is one of my favorites too.",0
GA230819992,20240722,5,3,5,4,"Hair Type: Frizzy 
Hair Concern: Anti-Dandruff,Anti-Frizz,Damage Repair",This really helped my scalp to get rid of any buildup and my hair has grown a lot after using.,0
GA230819992,20240721,5,5,5,5,,Very good! Not sticky and nice lly absorbed.,0
